 # sweep    Energy    eta
           1   95832139875239.109       0.13398967852814714     
           2   136825268.12297544       0.15057020377463681     
           3   123227122.80277053       0.18221187352264642     
           4   121092483.69590572       0.18493139977599035     
           5   175175.12857303128       0.20212247547093817     
           6   124431.44044660716       0.20513916899264636     
           7   31726.098455722360       0.21406532105696088     
           8   18571.658033578231       0.20174850794651422     
           9   14913.405769219258       0.19915012048161629     
          10   10695.092263449613       0.19297823493081501     
          11   6164.1952303839498       0.18699762303407966     
          12   5646.7175531658131       0.16983028167765882     
          13   3661.5763005140739       0.17077641142858277     
          14   3132.1410587026521       0.16395867871930758     
          15   2202.7875846141369       0.15596231774084870     
          16   1549.4827743441676       0.14429165341044595     
          17   1195.2887902020511       0.13853124471639638     
          18   1084.9975677281443       0.14322677242817880     
          19   809.45822419838532       0.13750887589282584     
          20   687.87635804022523       0.12259345646871847     
          21   472.84445792193281       0.11879414778252606     
          22   398.20043837386140       0.10788823543434578     
          23   307.48256224091472        9.7983541802460605E-002
          24   231.27038470810371        9.0651430797412377E-002
          25   179.49057429479635        8.1570373554880157E-002
          26   109.87998257631266        8.2787817665897420E-002
          27   65.701596306295485        7.8024402120689784E-002
          28   10.093525419531261        8.4491524327193646E-002
          29  -18.274233544036822        7.9630081523583765E-002
          30  -66.684321752788463        7.7162256003940652E-002
          31  -94.940289331261127        8.4335197891383745E-002
          32  -135.13226414883198        8.8004847156559096E-002
          33  -151.28199926241513        8.2176828852421238E-002
          34  -186.06102222518135        7.3944719549189908E-002
          35  -194.00551176666752        7.3671356041808786E-002
          36  -222.04627443219775        7.0730249541084922E-002
          37  -239.33760243319963        7.1124289948484770E-002
          38  -251.51505790197808        7.2857318456926695E-002
          39  -259.43662800511652        6.8032427564246781E-002
          40  -271.78723319180324        6.2941559223830920E-002
          41  -288.62408809289087        6.3292208596622032E-002
          42  -304.81262509181698        6.4236849687144826E-002
          43  -315.92301158087184        6.5802057464698069E-002
          44  -324.42249463672567        6.6168642761644844E-002
          45  -338.63606215387887        6.9690119142647694E-002
          46  -351.03121013414130        7.0730249541084880E-002
          47  -358.78189944292205        6.7906557839183118E-002
          48  -367.42875140890135        6.2825108333597737E-002
          49  -381.21591027490615        6.5558796264559516E-002
          50  -383.20910500739836        6.4714442290587176E-002
          51  -391.79546800015873        6.8792552359669731E-002
          52  -401.52738285154692        7.0468765289094293E-002
          53  -417.75432333459452        7.0861348959640372E-002
          54  -427.04563883231424        6.6784154262336776E-002
          55  -430.94663161200293        6.7780912911005312E-002
          56  -434.47515783795916        6.8158522472836033E-002
          57  -441.97175427313812        6.9175793672953359E-002
          58  -453.43269194610463        7.4909491070889039E-002
          59  -453.36926997993532        6.7405391351338703E-002
          60  -463.54605910736615        7.0338379605660084E-002
          61  -471.58659025184159        6.6907935555000048E-002
          62  -474.62013910496438        6.8538227538818719E-002
          63  -476.30393534934677        6.7655500458872225E-002
          64  -490.24097739469818        7.3944701919396991E-002
          65  -490.64082824213750        6.7156198842447584E-002
          66  -494.74952811333048        6.5074952934686764E-002
          67  -501.57287692974160        6.5437487509812445E-002
          68  -510.15415398206784        6.7031950265889956E-002
          69  -514.27271349786429        6.6784142320400475E-002
          70  -514.87145996656864        6.1786683197547876E-002
          71  -522.14760325534724        6.6907927578953058E-002
          72  -524.84557621773570        6.4834375876047012E-002
          73  -522.96328979720420        7.0861327841315852E-002
          74  -524.51442159410931        7.1256098489979658E-002
          75  -526.31073012399702        7.0338367028178805E-002
          76  -528.57887449114935        7.0078335712467438E-002
          77  -538.80123319331415        7.3807884842262944E-002
          78  -540.32635977418261        7.1520495726496797E-002
          79  -540.78941284250402        6.3762755113358424E-002
          80  -547.61628620207375        7.2319596940264158E-002
          81  -547.38704390980672        7.1388168321194170E-002
          82  -553.10384819049716        6.9175768933766132E-002
          83  -551.79857234910503        6.7655484328545859E-002
          84  -554.87147538697798        6.7405371262969666E-002
          85  -555.19892171961328        7.2319592629680421E-002
          86  -560.74722334633509        6.9432451202663031E-002
          87  -566.00905949600008        6.7906525458820782E-002
          88  -565.02743505500348        6.5802026087839471E-002
          89  -570.68120741944813        6.9303991233553144E-002
          90  -568.53066332496610        7.5746435084090055E-002
          91  -566.81817575851062        7.4081746119534886E-002
          92  -571.27715026344958        7.4494457818012325E-002
          93  -571.04753165056081        7.7019453473503474E-002
          94  -573.92653977131204        7.7448531230493209E-002
          95  -570.97153837452117        7.2319592629680407E-002
          96  -577.17084075368439        7.0730215814281724E-002
          97  -585.69205528499674        6.9819257373835278E-002
          98  -585.88891447361880        7.0208222615700575E-002
          99  -585.79258252339241        6.9948672426069308E-002
         100  -584.72673164719288        6.7780884630610549E-002
         101  -586.40029237547208        7.2722482981976533E-002
         102  -592.35355089357597        7.5187417407495918E-002
         103  -594.89477067911946        7.4219053155892736E-002
         104  -594.19670354625521        7.4632529796115690E-002
         105  -592.59058662304699        7.1653051334714016E-002
         106  -592.27470105969655        7.2722478647378880E-002
         107  -594.71846374666222        7.4494448937581420E-002
         108  -597.23599653480335        7.4909459816220283E-002
         109  -599.47201543304482        7.1918925759725277E-002
         110  -602.67058702179497        7.3671316521424224E-002
         111  -603.96168151945096        7.9777629342906761E-002
         112  -604.50748046102001        7.8024346313308401E-002
         113  -603.19962042589214        7.7735900984157655E-002
         114  -607.36650297788935        7.4632529796115663E-002
         115  -612.03902136810029        7.4356623548392037E-002
         116  -619.37499994866300        7.4081737288303043E-002
         117  -624.24848580601702        7.5187412925976721E-002
         118  -630.10257369659587        7.9925498195179329E-002
         119  -633.07030247266039        7.2587927330181864E-002
         120  -630.50829621324999        6.7780876550499913E-002
         121  -632.45421445918464        7.4081732872687545E-002
         122  -631.74050692958531        7.3807862845802416E-002
         123  -631.37500513352211        7.3535005278922178E-002
         124  -628.47572588061587        6.9948659918273107E-002
         125  -629.42620930766759        6.5923979193316676E-002
         126  -629.24247805877849        7.2722465643587517E-002
         127  -629.27157890063336        7.6592734617589045E-002
         128  -632.28209908368467        7.6309581760933096E-002
         129  -633.51170511711280        7.6734704800660594E-002
         130  -630.70258426960686        7.6451027099669250E-002
         131  -629.57075483637459        7.9042340828753471E-002
         132  -626.33320429775722        7.6592730052306435E-002
         133  -626.97980190745182        7.9188846814398209E-002
         134  -624.25479993388421        8.8167891688802708E-002
         135  -619.99475790355496        9.0316207966358322E-002
         136  -624.03105584081425        8.7517207405360994E-002
         137  -622.83147236192372        8.9649668981041666E-002
         138  -626.83600188595290        8.2176755380643604E-002
